name	LWR	fract	aLWR	afract	taxopath
0ee5cb137c3a8cc22f8b1aebebc2461687d3497d;size=539	0.7086	0.7086	0.9603	0.9603	Eukaryota;SAR;Alveolata;Perkinsea
aa53253d6965f223c389151bc228c1c5e70bb9a1;size=23	0.4661	0.4661	0.7034	0.7034	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
243d02dbecd0c8e3997c46f336e67fde43ee8ab3;size=11	0.8605	0.8605	0.9768	0.9768	Eukaryota;SAR;Alveolata;Perkinsea
1ac1af173a27042d091863658e45307b6137fbce;size=237	0.8621	0.8705	0.9404	0.9496	Eukaryota;SAR;Alveolata;Perkinsea
e1d33bed3cbcf1251767a03ff9fde6cab60e5768;size=100	0.6873	0.6873	0.9443	0.9443	Eukaryota;SAR;Alveolata;Perkinsea
c981629f0ca3a5fa4901947c96c4177b9b3c5af9;size=60	0.8431	0.8931	0.931	0.9861	Eukaryota;SAR;Alveolata;Perkinsea
3a96a1cb13f1b3d96a0f89b9169fbee3bd6cb5af;size=137	0.8688	0.8688	0.9463	0.9463	Eukaryota;SAR;Alveolata;Perkinsea
2f819d4e09db76cfc2f7fed67c15a2548c9b4849;size=24	0.3824	0.3824	0.5451	0.5451	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
024333252de1e149800942222080eaeedf29cbcd;size=13	0.837	0.9163	0.8936	0.9782	Eukaryota;SAR;Alveolata;Perkinsea
ff0e399135473cd6d8e0539c9b38bb1900b02d36;size=1520	0.6911	0.9177	0.7232	0.9602	Eukaryota;SAR;Alveolata;Perkinsea
2b0381e43a264fdbf82f21db19a7a36ce45eeec1;size=48	0.8075	0.8659	0.9019	0.9672	Eukaryota;SAR;Alveolata;Perkinsea
32060cf92e16ab842d712deba3a6e27ce33f74b6;size=178	0.7142	0.721	0.9865	0.9959	Eukaryota;SAR;Alveolata;Perkinsea
f5e299e75df9170c30f777ac4003a24f17093c32;size=48	0.829	0.8942	0.8523	0.9192	Eukaryota;SAR;Alveolata;Perkinsea
98cdfb5207269e30619c8ca68ce86573c02c5d89;size=10	0.7925	0.8275	0.936	0.9773	Eukaryota;SAR;Alveolata;Perkinsea
72178153807f76d0c1a8d6df15e73481483d2ca4;size=10	0.9211	0.9532	0.9406	0.9734	Eukaryota;SAR;Alveolata;Perkinsea
cb361c2ebfe48d1eaa465e476bf789fb8b60062c;size=46	0.9162	0.9654	0.9292	0.9791	Eukaryota;SAR;Alveolata;Perkinsea
