project	sample	nasvs	nreads	latitude	longitude	environment	subcategory	subcategory_old
Tara_Oceans	BZP_AABTOSTA_1_1_HV57HBCXY.12BA130	898	272478	74.8023	76.1478	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABUOSTA_1_1_HV57HBCXY.12BA142	980	226419	78.3555	91.6084	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABUOSTA_2_1_HV57HBCXY.12BA142	981	227673	78.3555	91.6084	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABVOSTA_2_1_HV57HBCXY.12BA154	2869	238143	78.0391	116.4105	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AACAOSTA_2_1_HV57HBCXY.12BA119	1492	241811	71.8895	-154.9101	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AACGOSTA_2_1_HV57HBCXY.12BA191	2004	255562	70.9433	-53.5127	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AACHOSTA_1_1_HV57HBCXY.12BA108	1573	209782	69.1136	-51.5086	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AACHOSTA_2_1_HV57HBCXY.12BA108	1574	211872	69.1136	-51.5086	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AACIOSTA_1_1_HV57HBCXY.12BA120	2478	206782	64.7	-52.996	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AACIOSTA_2_1_HV57HBCXY.12BA120	2538	210055	64.7	-52.996	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AACJOSTA_1_1_HV57HBCXY.12BA132	2831	175495	61.5754	-55.9846	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AADMOSTA_2_1_H32WHBCX2.12BA093	1663	488926	61.5267	-55.9954	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AADSOSTA_2_1_HYFJJBCXY.12BA283	2348	345984	67.1675	0.2177	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZP_AADZOSTA_2_1_HYFJJBCXY.12BA272	1938	627350	78.9354	79.0604	Marine	Epipelagic zone	marine_epipelagic
