Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,4e272b08f564001a5ca5e2229caf3b386942026d;size=44,1,0.88358,0.0543885,0.0130945,0,0
epa_result,ceb4c90dfb38e6c0faad8490977a0ad2e72504a4;size=489,1,0.895938,0.0774377,0.0253974,0,0
epa_result,049f67a580bb426ab1440bd15bfb23e8edad1e9d;size=14,1,0.29791,0.223453,0.130512,0.110834,0.110487
epa_result,0f2f13131ee2038435cc263b6b7fd94d6cb9e6db;size=78,1,0.403257,0.123025,0.0940283,0.0915085,0.0664657
epa_result,0d07f325a8bd1995d41ad3952857e71936e52ca0;size=23,1,1,0,0,0,0
epa_result,7e3fc193c348e0f0fdd7783d01ecbf1d3e8db22a;size=15,1,0.837984,0.15518,0,0,0
epa_result,7325b44a692100d1ac5f88d897b0f0eeea0ccdbc;size=98,1,1,0,0,0,0
epa_result,70b4ecb57230a5bb280c71317e6fa6888974a5da;size=30,1,0.900594,0.0200599,0.019939,0.0115756,0
epa_result,b0605f20a78f08393846492e254968da7151a702;size=11,1,0.999955,0,0,0,0
epa_result,dc91d542211d32a937e6eda3d1bb4e0ac751dd7a;size=33,1,1,0,0,0,0
epa_result,de3ac6a3a6abb7b1400c9afb0b994db962189895;size=562,1,0.777013,0.084172,0.0715762,0.0173969,0.0146992
epa_result,ab8dd34a0c6ecc2442ebc4b999cc10c786ef2099;size=13,1,0.999805,0,0,0,0
epa_result,c9e0e5340eb8f8bbbb96eed5849535a911cc771d;size=45,1,1,0,0,0,0
epa_result,a63a2c97415fd13eba48e299dd7d7f8a7440df2e;size=186,1,0.697168,0.111856,0.0974201,0.0262414,0.0231481
epa_result,e60f4465b1fabddcc1f524bf96f2d33f25c8c2ce;size=43,1,0.672858,0.151406,0.0528637,0.0249692,0.0240506
epa_result,daac8e9d865680b96dcec01ebc62967510f83602;size=5388,1,1,0,0,0,0
epa_result,448f3e9111886f8bf23af685fe61fef906dbd30c;size=13,1,1,0,0,0,0
epa_result,afc29ce4ff4965a0e575a3e08166b90062e79551;size=43,1,0.999862,0,0,0,0
epa_result,34d60b47a9f6893133b82db64a08f02dafa35130;size=143,1,1,0,0,0,0
epa_result,334e626868cd8da2d23b735c9d2c6f477c64bb84;size=35,1,1,0,0,0,0
epa_result,25293b9b02d39c49e7927eec34908f383c6d61b8;size=12,1,1,0,0,0,0
epa_result,ffa46eb6b39f871e183c33a977cd55ee1cea3958;size=57,1,0.824595,0.152132,0.0100399,0,0
epa_result,0bd037ef426ea7025c3e032e6f22cda8dddf0cd9;size=11,1,0.999984,0,0,0,0
epa_result,6feffcd937713dc220aaefe5b6e610beb6d8891d;size=16,1,1,0,0,0,0
epa_result,a754fa83604a88613483f0de1a87e59ca4bf2fa5;size=130,1,0.857994,0.137862,0,0,0
epa_result,6ed8f43c5f43b72ac38d0eb144f06653a916e408;size=24,1,0.966082,0,0,0,0
epa_result,2a0062dbf3f63e6df5319350cd95f0eefdff1351;size=12,1,0.743089,0.106791,0.0374101,0.031402,0.0313628
epa_result,9a5d06083db7925032eaf4a8af5e7812ced50b63;size=34,1,1,0,0,0,0
epa_result,029665d79fe099d36bb6fcb9ae2d32217cb926e2;size=57,1,0.986087,0,0,0,0
epa_result,10798b1ab5bd9473ea92159f29435486bfa6aaab;size=10,1,0.99999,0,0,0,0
epa_result,a8e9838470f71682192dfe30ea37b448343a6a93;size=203,1,0.342573,0.255478,0.186481,0.112143,0.0799666
epa_result,2b0381e43a264fdbf82f21db19a7a36ce45eeec1;size=48,1,0.239484,0.223229,0.145651,0.112562,0.111845
epa_result,0e66d61088d6e5df91f4e2cc2ba4fe1f0c819c66;size=153,1,0.254333,0.225034,0.141399,0.0936659,0.0926796
epa_result,0e0b75bac57466fd4123047a258fa8fa4725f60c;size=19,1,0.50681,0.126809,0.0970563,0.0958511,0.0514187
epa_result,69bd6ed571482ceb70d8f986a51a3447b0292892;size=119,1,0.366237,0.360263,0.173562,0.0343791,0.027009
epa_result,de2afe32e2440304a009e3e83a4ce6a2ab6b50c0;size=11,1,0.978911,0,0,0,0
epa_result,30a63c1ac06794a986d351b6e881661e53323ba1;size=91,1,0.14777,0.146731,0.146144,0.130632,0.129172
epa_result,8aebec024e5443eba712bb7ba7a02e94dfce05f8;size=15,1,0.790561,0.110733,0.0394315,0.0296683,0.0159851
epa_result,2c71da3a6e41c6e1d5802365b41cdd20927c408e;size=309,1,0.279418,0.277435,0.170472,0.0888329,0.0856299
epa_result,c9058c85d8b65665a3a16aafc5bd595ed368ed1d;size=82,1,0.998577,0,0,0,0
epa_result,d3ca0acbcfb6b2284057173cd8d2149f4ad88601;size=16,1,0.850986,0.0496604,0.0462233,0.0319236,0.0103907
epa_result,c358a408ca1df23b995b5b98487106b229247c2b;size=319,1,0.999602,0,0,0,0
epa_result,a8012507a06a70eb6de50f7a5e0577f9a3ccb92b;size=53,1,0.881845,0.0354561,0.025444,0.0192938,0.0152985
epa_result,7ffdb932ac58524dbc11238b226cb0499edceeff;size=11,1,0.557568,0.190566,0.058773,0.0488337,0.0486971
epa_result,7210331b72e306ffa3e4d22250e88ee8aa9caad6;size=244,1,0.986589,0,0,0,0
epa_result,19a02e8c456062037d6449f0b1f05803484e84cf;size=123,1,0.973754,0,0,0,0
epa_result,405bbb0478e7a201aa1efafea91e7c154896e219;size=21,1,0.972375,0.0127419,0,0,0
epa_result,d4e6ab1430e32593362fb89656986ee33fd700ff;size=13,1,0.371417,0.214973,0.148157,0.146955,0.0981171
epa_result,20eea2d04ec5efa858a08a73b19a5fe632bd55aa;size=135,1,0.72,0.0672612,0.0657717,0.0443906,0.0307872
epa_result,7f44e770f978cc998aa7907e34727df78f4e6406;size=19,1,0.999847,0,0,0,0
epa_result,ae700261183299782b68cb6c49a3b8db8cb4cc1e;size=12284,1,0.648863,0.232986,0.0626265,0.0208134,0.0173137
epa_result,6488631716e40cb4edf17b2273021a02d1cc4557;size=6264,1,0.760343,0.188506,0.0472803,0,0
epa_result,32ee27820f8a66495b25587c27996e5dbffe8cd9;size=190,1,0.8717,0.0642856,0.0632608,0,0
epa_result,d845566d79a3de3eedfec8df2bad8fc81da047ee;size=5606,1,0.948569,0.0191669,0.011777,0,0
epa_result,f0a0dcfa9cf55b20ef4aa1ad63149ffc03029290;size=17,1,0.88254,0.0446947,0.041483,0.0177816,0.0129599
epa_result,45172ffa3a6271e4ec0ef24339f500dfe67826f9;size=14,1,0.458802,0.391227,0.148363,0,0
epa_result,dbe4ba7927ea428c387b30f69324383c61cfdb47;size=203,1,0.702788,0.130243,0.126818,0.0258628,0
epa_result,f425cbcc63b2524810b7c5303e0d0a2866fd21e9;size=15179,1,0.735043,0.210002,0.0541463,0,0
epa_result,75e7b0d871c9c22a9c416bddcdeb3d5ca2ae97ac;size=1302,1,0.70423,0.147193,0.14489,0,0
epa_result,4ad313ef07be4630a8fe3ff9f33cf319fdd67c08;size=952,1,0.786974,0.167385,0.042567,0,0
epa_result,d6bf0d9c8edda1aad14b7c81834fa26568780fc8;size=168,1,0.960934,0.0173293,0.0170292,0,0
epa_result,8520b8394b062ec3a25033ea03b35a01bd734543;size=2263,1,0.759218,0.18935,0.0508891,0,0
epa_result,b355b20be195eda3886768b2fb47b92c9efce901;size=12,1,0.919094,0.0353117,0.0347019,0,0
epa_result,e5e07fdba41c471e2ae39c6bcc1558cfa7c91c60;size=16,1,0.409692,0.272343,0.22408,0.027462,0.0233193
epa_result,b5c019f8c13dfbdf18f79db58ef13144c70740a1;size=40,1,0.44862,0.444137,0.104871,0,0
